Generation #0
Puntaje: 25 [62, 2, 9, 6, 1, 7]
Puntaje: 21 [13, 2, 9, 6, 1, 7]
Puntaje: 18 [10, 3, 9, 6, 1, 7]
Puntaje: 18 [19, 2, 9, 12, 1, 7]
Puntaje: 12 [62, 2, 9, 6, 1, 7]
Puntaje: 9 [62, 3, 9, 6, 1, 7]
Puntaje: 9 [62, 2, 9, 6, 1, 7]
Puntaje: 9 [10, 2, 9, 12, 1, 7]
Puntaje: 9 [19, 2, 9, 12, 1, 7]
Puntaje: 9 [62, 3, 9, 6, 1, 7]
Puntaje: 9 [19, 2, 9, 12, 1, 7]
Puntaje: 9 [62, 3, 9, 6, 1, 7]
Puntaje: 7 [19, 2, 12, 12, 1, 7]
Puntaje: 6 [19, 2, 9, 11, 2, 7]
Puntaje: 4 [62, 2, 9, 6, 1, 6]
Puntaje: 3 [62, 2, 9, 6, 1, 4]
Generation #8
Puntaje: 22 [19, 2, 9, 12, 1, 7]
Puntaje: 21 [48, 2, 9, 6, 1, 7]
Puntaje: 21 [62, 3, 9, 6, 1, 7]
Puntaje: 18 [62, 2, 9, 6, 1, 7]
Puntaje: 13 [13, 2, 9, 6, 1, 7]
Puntaje: 12 [13, 2, 9, 6, 1, 7]
Puntaje: 12 [62, 2, 9, 6, 1, 7]
Puntaje: 12 [13, 2, 9, 6, 1, 7]
Puntaje: 12 [10, 2, 9, 6, 1, 7]
Puntaje: 9 [62, 3, 9, 6, 1, 7]
Puntaje: 9 [62, 2, 9, 6, 1, 7]
Puntaje: 9 [10, 3, 9, 6, 1, 7]
Puntaje: 4 [62, 1, 9, 6, 1, 7]
Puntaje: 3 [19, 2, 9, 14, 1, 9]
Puntaje: 0 [62, 2, 9, 6, 7, 7]
Puntaje: 0 [13, 2, 9, 3, 1, 7]
Generation #9
Puntaje: 22 [62, 3, 9, 6, 1, 7]
Puntaje: 22 [48, 3, 9, 6, 1, 7]
Puntaje: 21 [48, 2, 9, 6, 1, 7]
Puntaje: 18 [62, 2, 9, 12, 1, 7]
Puntaje: 12 [48, 2, 9, 6, 1, 7]
Puntaje: 11 [19, 2, 9, 12, 1, 7]
Puntaje: 10 [13, 2, 9, 6, 1, 7]
Puntaje: 10 [19, 2, 9, 12, 1, 7]
Puntaje: 9 [62, 2, 9, 16, 1, 7]
Puntaje: 9 [19, 2, 9, 12, 1, 7]
Puntaje: 9 [48, 3, 9, 6, 1, 7]
Puntaje: 8 [19, 2, 9, 12, 1, 9]
Puntaje: 5 [62, 2, 5, 4, 1, 7]
Puntaje: 4 [62, 2, 9, 6, 4, 7]
